COVID,NC,Normal
0.0,160.0,116.0
178.0,29.0,127.0
86.0,3.0,234.0
0.0,0.0,8.0
0.0,30.0,45.0
11.0,75.0,5.0
98.0,16.0,20.0
11.0,20.0,0.0
36.0,0.0,1.0
12.0,113.0,9.0
12.0,96.0,255.0
40.0,2.0,2.0
19.0,52.0,0.0
88.0,29.0,144.0
0.0,0.0,0.0
72.0,47.0,104.0
206.0,138.0,44.0
0.0,38.0,13.0
0.0,0.0,75.0
241.0,50.0,0.0
24.0,58.0,4.0
252.0,75.0,8.0
12.0,251.0,10.0
0.0,49.0,235.0
98.0,27.0,199.0
152.0,32.0,18.0
65.0,118.0,48.0
16.0,80.0,24.0
219.0,44.0,0.0
19.0,13.0,20.0
79.0,119.0,103.0
79.0,179.0,87.0
19.0,61.0,0.0
138.0,149.0,0.0
35.0,62.0,0.0
112.0,14.0,242.0
11.0,58.0,0.0
0.0,0.0,22.0
12.0,33.0,205.0
25.0,38.0,236.0
255.0,5.0,245.0
19.0,0.0,82.0
31.0,21.0,228.0
122.0,5.0,254.0
91.0,42.0,25.0
0.0,0.0,0.0
12.0,37.0,108.0
223.0,15.0,2.0
16.0,133.0,17.0
0.0,7.0,19.0
60.0,5.0,196.0
11.0,30.0,254.0
225.0,0.0,0.0
0.0,2.0,202.0
94.0,3.0,9.0
23.0,42.0,157.0
255.0,36.0,15.0
21.0,21.0,5.0
93.0,28.0,9.0
27.0,18.0,14.0
0.0,0.0,0.0
33.0,220.0,0.0
0.0,207.0,2.0
153.0,167.0,2.0
83.0,134.0,0.0
0.0,18.0,1.0
91.0,1.0,0.0
43.0,23.0,109.0
41.0,151.0,3.0
13.0,2.0,15.0
26.0,54.0,55.0
10.0,5.0,1.0
1.0,0.0,1.0
231.0,0.0,0.0
1.0,0.0,208.0
214.0,10.0,193.0
255.0,217.0,15.0
0.0,4.0,8.0
43.0,4.0,198.0
61.0,12.0,243.0
255.0,1.0,20.0
32.0,51.0,26.0
46.0,122.0,246.0
19.0,7.0,177.0
0.0,43.0,1.0
137.0,0.0,17.0
38.0,19.0,211.0
141.0,215.0,3.0
23.0,1.0,0.0
79.0,2.0,193.0
12.0,66.0,3.0
26.0,0.0,39.0
14.0,32.0,19.0
6.0,1.0,255.0
91.0,21.0,25.0
21.0,1.0,0.0
227.0,67.0,15.0
166.0,0.0,102.0
115.0,47.0,212.0
0.0,7.0,2.0
58.0,59.0,210.0
26.0,116.0,44.0
81.0,82.0,255.0
0.0,97.0,0.0
54.0,46.0,13.0
32.0,0.0,7.0
101.0,23.0,0.0
68.0,19.0,3.0
32.0,0.0,158.0
172.0,99.0,215.0
172.0,1.0,1.0
103.0,75.0,18.0
179.0,88.0,15.0
12.0,22.0,1.0
61.0,20.0,0.0
89.0,0.0,51.0
8.0,28.0,4.0
131.0,27.0,233.0
0.0,23.0,9.0
210.0,26.0,1.0
30.0,28.0,0.0
222.0,2.0,9.0
36.0,0.0,5.0
99.0,51.0,0.0
73.0,4.0,0.0
143.0,118.0,129.0
112.0,23.0,7.0
0.0,210.0,26.0
0.0,0.0,5.0
30.0,28.0,11.0
104.0,15.0,205.0
9.0,0.0,26.0
7.0,174.0,126.0
33.0,57.0,2.0
0.0,0.0,51.0
174.0,44.0,1.0
12.0,10.0,3.0
127.0,114.0,119.0
3.0,0.0,1.0
23.0,66.0,12.0
132.0,36.0,85.0
128.0,103.0,0.0
26.0,8.0,203.0
232.0,64.0,134.0
112.0,65.0,0.0
53.0,0.0,13.0
242.0,28.0,3.0
20.0,85.0,53.0
11.0,34.0,245.0
26.0,51.0,1.0
46.0,0.0,8.0
4.0,90.0,0.0
217.0,142.0,40.0
67.0,4.0,0.0
98.0,203.0,90.0
139.0,0.0,43.0
15.0,0.0,3.0
42.0,44.0,79.0
52.0,0.0,43.0
5.0,102.0,0.0
72.0,0.0,159.0
166.0,0.0,222.0
2.0,53.0,0.0
12.0,15.0,156.0
181.0,0.0,31.0
48.0,16.0,4.0
0.0,22.0,210.0
46.0,48.0,0.0
0.0,67.0,66.0
27.0,27.0,0.0
231.0,53.0,13.0
14.0,0.0,14.0
0.0,183.0,52.0
9.0,219.0,95.0
124.0,0.0,7.0
17.0,77.0,95.0
1.0,95.0,250.0
0.0,0.0,0.0
20.0,15.0,1.0
12.0,33.0,236.0
112.0,6.0,173.0
133.0,33.0,230.0
153.0,69.0,5.0
39.0,0.0,19.0
47.0,0.0,0.0
7.0,0.0,3.0
41.0,4.0,1.0
53.0,13.0,0.0
95.0,37.0,41.0
1.0,25.0,1.0
14.0,125.0,9.0
88.0,0.0,0.0
38.0,56.0,31.0
12.0,2.0,4.0
5.0,25.0,2.0
75.0,62.0,194.0
39.0,38.0,213.0
134.0,137.0,7.0
26.0,0.0,196.0
40.0,209.0,200.0
154.0,0.0,29.0
255.0,84.0,151.0
21.0,32.0,0.0
252.0,1.0,53.0
157.0,19.0,239.0
30.0,17.0,161.0
85.0,0.0,1.0
70.0,0.0,97.0
19.0,3.0,6.0
17.0,15.0,86.0
255.0,3.0,3.0
23.0,12.0,70.0
36.0,49.0,228.0
133.0,0.0,2.0
9.0,101.0,2.0
159.0,36.0,200.0
25.0,44.0,95.0
46.0,50.0,124.0
225.0,36.0,23.0
48.0,159.0,16.0
4.0,123.0,7.0
32.0,231.0,10.0
127.0,8.0,0.0
214.0,48.0,56.0
16.0,0.0,254.0
0.0,17.0,5.0
34.0,10.0,0.0
0.0,26.0,81.0
11.0,0.0,30.0
0.0,53.0,213.0
42.0,57.0,3.0
8.0,166.0,2.0
0.0,80.0,4.0
230.0,111.0,0.0
9.0,0.0,83.0
7.0,0.0,5.0
30.0,18.0,0.0
77.0,26.0,6.0
0.0,29.0,34.0
9.0,10.0,13.0
225.0,0.0,0.0
239.0,0.0,110.0
150.0,163.0,55.0
6.0,0.0,40.0
146.0,193.0,21.0
189.0,92.0,20.0
130.0,11.0,207.0
12.0,14.0,238.0
23.0,8.0,1.0
12.0,11.0,5.0
94.0,7.0,0.0
92.0,18.0,224.0
5.0,193.0,87.0
9.0,2.0,11.0
